"species","y_1996","y_1997","y_1998","y_1999","y_2000","y_2001","y_2002","y_2003","y_2004","y_2005","y_2006","y_2007","y_2008","y_2009","y_2010"
"Alburnus.alburnus",0.777777777777778,0.413978494623656,0.550925925925926,0.475206611570248,0.468503937007874,0.444444444444444,0.564814814814815,0.4321608040201,0.412698412698413,0.28476821192053,0.43452380952381,0.914772727272727,0.95,0.8,1
"Blicca.bjoerkna",0.444444444444444,0.623655913978495,0.638888888888889,0.65702479338843,0.677165354330709,0.619883040935672,0.62962962962963,0.597989949748744,0.492063492063492,0.390728476821192,0.44047619047619,0.284090909090909,0.85,0.8,1
"Aspius.aspius",0.444444444444444,0.387096774193548,0.37962962962963,0.359504132231405,0.47244094488189,0.333333333333333,0.314814814814815,0.366834170854271,0.439153439153439,0.324503311258278,0.345238095238095,0.571969696969697,0.6,0.7,0.5
"Leuciscus.cephalus",0.666666666666667,0.306451612903226,0.328703703703704,0.330578512396694,0.322834645669291,0.345029239766082,0.416666666666667,0.42713567839196,0.37037037037037,0.225165562913907,0.214285714285714,0.289772727272727,0.45,0.7,1
"Leuciscus.leuciscus",0.555555555555556,0.161290322580645,0.24537037037037,0.214876033057851,0.303149606299213,0.204678362573099,0.273148148148148,0.28643216080402,0.211640211640212,0.119205298013245,0.136904761904762,0.117424242424242,0.25,0.7,0.5
"Perca.fluviatilis",0.888888888888889,0.639784946236559,0.736111111111111,0.685950413223141,0.708661417322835,0.690058479532164,0.787037037037037,0.768844221105528,0.80952380952381,0.741721854304636,0.726190476190476,0.386363636363636,0.9,1,1
"Rutilus.rutilus",1,0.919354838709677,0.967592592592593,0.87603305785124,0.862204724409449,0.865497076023392,0.921296296296296,0.924623115577889,0.920634920634921,0.894039735099338,0.892857142857143,0.46780303030303,1,1,1
"Sander.lucioperca",0.888888888888889,0.5,0.550925925925926,0.520661157024793,0.539370078740158,0.596491228070175,0.583333333333333,0.623115577889447,0.576719576719577,0.609271523178808,0.547619047619048,0.289772727272727,0.55,0.2,0.166666666666667
"Gobio.gobio",0.333333333333333,0.370967741935484,0.435185185185185,0.425619834710744,0.377952755905512,0.43859649122807,0.476851851851852,0.437185929648241,0.396825396825397,0.403973509933775,0.386904761904762,0.071969696969697,0.7,0.5,0.666666666666667
"Leuciscus.idus",0.333333333333333,0.596774193548387,0.62037037037037,0.59504132231405,0.622047244094488,0.56140350877193,0.689814814814815,0.698492462311558,0.793650793650794,0.615894039735099,0.619047619047619,0.429924242424242,0.85,0.9,1
"Abramis.brama",0.888888888888889,0.801075268817204,0.787037037037037,0.764462809917355,0.759842519685039,0.824561403508772,0.805555555555556,0.768844221105528,0.714285714285714,0.675496688741722,0.767857142857143,0.325757575757576,0.95,0.6,1
"Esox.lucius",0,0.370967741935484,0.365740740740741,0.392561983471074,0.381889763779528,0.385964912280702,0.444444444444444,0.321608040201005,0.28042328042328,0.205298013245033,0.321428571428571,0.291666666666667,0.85,0.9,1
"Gymnocephalus.cernuus",0.444444444444444,0.510752688172043,0.467592592592593,0.582644628099174,0.574803149606299,0.637426900584795,0.638888888888889,0.618090452261307,0.677248677248677,0.71523178807947,0.601190476190476,0.111742424242424,0.85,0.8,0.666666666666667
"Anguilla.anguilla",1,0.586021505376344,0.606481481481482,0.475206611570248,0.476377952755905,0.508771929824561,0.615740740740741,0.57286432160804,0.62962962962963,0.496688741721854,0.458333333333333,0.107954545454545,0.75,0.3,0
